complaint_id,date_received,district_column,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid,my_column,complaint_id_1,complainant_sex,complainant_race,complainant_age,objectid_1
21-0034,1/27/2021 5:00:00,39,DOMESTIC,"The complainant is alleging a domestic assault by an off-duty, 39th District Officer, while in the confines of the 14th District. On 1-24-21 at 6:00 AM, they went to a residence to meet with the officer, as the officer requested. When they arrived, there were several other people on location and the officer acted surprised to see them. The complainant states that they became angry and pushed the officerâs face. At that time, the officer punched the complainant, slammed them to the ground and proceeded to kick them. The officerâs friend picked the complainant up and threw them outside. The complainant states that they sustained injuries to their leg, lip and head, as well as a mild concussion. The complainant further stated that this is not the first time that they were assaulted by the officer.",2021-01-24,06:00:00,35,3900,21-0034,Female,Black,35,37
21-0035,1/28/2021 5:00:00,25,DEPARTMENTAL VIOLATIONS,"The complainant states they did not receive proper service from a detective assigned to East Detective Division and 24th District officers violated departmental policies while in the confines of the 25th District. On 12-25-20 at 9:45 PM, the complainant, along with their spouse, went to the 24th District to make a report. The complainant states that none of the officers had on any form of face covering. The complainants spouse complained to the captain. The complainant states that because of their spouseâs complaint, the detective failed to properly investigate her case by not viewing video footage from a prior incident.",2020-12-25,21:45:00,36,2500,21-0035,Female,Latino,44,38
21-0037,2/2/2021 5:00:00,8,DOMESTIC,"According to the complainant, on 1-19-21 at 9:27 AM, an officer harassed them while in the confines of the 8th District. The complainant also states they have known the officer all of their life and that the officer can be the cause for their mental instability.",2021-01-19,09:27:00,38,0800,21-0037,Female,,28,39
21-0038,2/2/2021 5:00:00,15,HARASSMENT,"The complainant states they were harassed by officers while in the confines of the 15th District. On 1-27-21 at 9:40 AM, they were approached by officers after they parked their vehicle. The officers asked the complainant for their license and registration; they complied. The complainant states they were operating a rental vehicle. The officers âLive-Stoppedâ the vehicle. The complainant states that the same officers have been harassing them the last few days.",2021-01-27,09:40:00,39,1500,21-0038,Male,Black,36,40
25-0681,12/30/2025 5:00:00,8,CONFIDENTIAL INVESTIGATION*,"According to the complainant, between March through October of 2025, while in the confines of the 8th District, they alleged a criminal allegation against officers assigned to the Personnel Unit. They alleged digital forgery by officer after a fake social media account was created depicted false information about them.",NA,NA,40,0800,25-0681,Male,White,65,41
21-0039,2/8/2021 5:00:00,17,UNPROFESSIONAL CONDUCT,"The complainant states a detective assigned to the Special Victims Unit, an unknown detective and an unknown officer violated departmental policies while in the confines of the 12th District. On 1-28-21 at 6:45 AM, two detectives and an officer arrived at their residence and although they did not show any paperwork, they allowed them to enter. The detectives and the officer did not wear a face covering. The complainant states that a detective questioned their minor child without their permission.",2021-01-28,06:45:00,41,1700,21-0039,Female,Black,35,42
21-0040,2/2/2021 5:00:00,NA,VERBAL ABUSE,"According to the complainant, on 1-27-21 at 9:15 PM, an officer banged on their door and asked them to move their vehicle or get a ticket; the complainant selected to take the ticket. The complainant states that 20 minutes later, the officer arrived at their home with 12 other officers and a tow truck then began to tow the complainants vehicle. The complainant states they had to pay the tow truck driver $180 on the spot to drop their vehicle. A person dropped a metal plate on the complainants foot, while hooking up the vehicle and when the complainant requested emergency medical service, all of the officers laughed.",2021-01-27,21:15:00,42,NA,21-0040,Male,Black,40,43
21-0041,2/3/2021 5:00:00,39,UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-24-21 at 4:45 PM, an officer was serving a restraining order for them in the confines of the 39th District. While serving the order, the officer told the family of the person being served not to have any contact with them because âsituations like this tend to snowball.â The complainant states that the comment made by the officer suggested that they were either the problem or that they lied.",2021-01-24,16:45:00,43,3900,21-0041,Female,Black,36,44
21-0042,2/3/2021 5:00:00,14,*CIVIL RIGHTS COMPLAINT,"According to the complainant, on 1-27-21 at 10:00 AM, they were stopped by police while pulling into a parking lot in the confines of the 14th District. When an officer approached the complainants vehicle, the complainant asked, âWhatâs the problem officer?â and the officer replied, âShut your mouth and get out the carâ. The complainant exited their vehicle, after the officer pulled open the door. The officer told them, âYou were digging in your car for a gun,â then frisked and searched them twice before detaining them in the back of the patrol car. The officers searched their vehicle, damaging the center console and armrest. The complainant believes he was racially profiled after seeing that the ticket issued was for a tail light being out.",2021-01-27,10:00:00,44,1400,21-0042,Male,Black,32,45
21-0043,2/3/2021 5:00:00,12,CRIMINAL ALLEGATION,"According to the complainant, on 1-21-21, an individual was improperly stopped and falsely arrested by an officer while in the confines of the 12th District. The complainant states body cam footage from the officers on location will show that officers say they did not find any drugs or guns. Somehow the officer later found drugs and a gun which then led to the arrest of the individual stopped.",2021-01-21,NA,45,1200,21-0043,Male,Black,26,46
21-0044,2/4/2021 5:00:00,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, they were falsely arrested by a 12th District officer while in the confines of the 12th District. On 1-31-21 at 10:00 PM, they were locking the doors to the home. Officers were on location. Once the home was closed, the officer placed them under arrest. At first, the officer stated that they were being arrested for breaking into a home. Then the officer stated that the arrest was for a warrant.",2021-01-31,22:00:00,46,1200,21-0044,Female,Black,33,49
21-0045,2/8/2021 5:00:00,15,LACK OF SERVICE,"According to the complainant, they did not receive proper service from officers while in the confines of the 15th District. On 1-31-21 at 11:34 AM, they were issued a parking ticket. The complainant stated the ticket was issued because an oversized truck could not drive through the street. A tow truck operator arrived to tow the vehicle. A verbal altercation ensued between the complainant and the tow truck operator. At that time, the tow truck operator brandished a firearm and threatened to shoot them. Officers arrived and failed to take a report or make an arrest. An officer said, âWe would have to get a warrant to search them because we canât act off of probable cause.â",2021-01-31,11:34:00,47,1500,21-0045,Male,Black,37,50
21-0046,2/8/2021 5:00:00,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, they were verbally abused and improperly searched by an officer assigned to the Highway Patrol Unit while in the confines of the 16th District. On 2-2-21, they were stopped by an officer. The complainant states that the officer searched them without their permission. The officer verbally abused them with insults and profanity.",2021-02-02,NA,48,1600,21-0046,Male,White,31,51
21-0047,2/8/2021 5:00:00,15,LACK OF SERVICE,"On 1-30-21 at 8:00 PM, the complainants went to a district to ask for assistance in serving a PFA. The officer served the PFA but when the complainants attempted to take the baby, the officer refused to let them take custody. The officer said that a PFA was served and that is all that was going to be done. The officer said several times that they did not care. The grandchildâs parent also injured the complainantâs spouse and officers refused to take a report.",2021-01-30,20:00:00,49,1500,21-0047,Female,White,44,52
21-0048,2/5/2021 5:00:00,25,UNPROFESSIONAL CONDUCT,"On 1-27-21 at 11:30 PM, while working at a tire shop, a disgruntled customerâs friend began screaming and cursing, threatening to beat the complainant up. The complainant called 911 and when the officers arrived, they did not take any information about the incident from the complainant. When the complainant asked the officers why they were so hostile, they got even more hostile and left. The officers took the customerâs report, even though the complainant was the one who had called 911 first. There is security footage of the incident. The complainant was afraid to leave the office after work, due to the customer along with several friends waiting out front of the business.",2021-01-27,23:30:00,50,2500,21-0048,Female,Latino,18,53
21-0049,2/8/2021 5:00:00,26,PHYSICAL ABUSE,"According to the complainant, on 1-31-21 at 10:00 AM, they arrived at a police district to speak to someone about an earlier altercation. The complainant states they had a heated exchange with an officer, after the officer refused to provide their name and badge number. The complainant also states that an officer made an inappropriate comment and threatened them. The complainant states that when the officer got in their face, other officers had to physically hold the officer back. When the complainant attempted to leave, a sergeant blocked their path. The complainant states that when they told the sergeant to get out of the way, the sergeant pushed them, which caused the complainant to fall then scream in pain. After the complainant walked out of the door towards their car, the sergeant placed them over the trunk and handcuffed them. The complainant also states that the sergeant berated them, while in the patrol car.",2021-01-31,10:00:00,51,2600,21-0049,Male,White,36,54
21-0050,2/8/2021 5:00:00,39,PHYSICAL ABUSE,"According to the complainant, on 1-26-21 at 10:00 PM, they were improperly stopped by police while in the confines of the 39th District. The complainant states that during this police interaction, they sustained physical injury and their property was improperly confiscated by the officers.",2021-01-26,22:00:00,52,3900,21-0050,Male,Asian,35,55
21-0051,2/9/2021 5:00:00,6,CRIMINAL ALLEGATION,The complainant states a detective from Central Detective Division and an officer assigned to the 9th District conspired to take intellectual property from them; their writings. The complainant also states that they attempted to report the detective and the officer to the 6th District but the officer and supervisor they spoke to would not take their complaint seriously.,NA,NA,53,0600,21-0051,Female,White,75,56
21-0052,2/9/2021 5:00:00,8,LACK OF SERVICE,"On 1-17-21 at 5:30 AM, the complainant was given information about a siblingâs murder that occurred in 2017 and is still unsolved. The complainant spoke to the people believed to be involved and has now received death threats. The complainant has repeatedly asked a detective for help but has been told that there is nothing that can be done. The complainant filed a report at the district and returned to add additional information but was told that there was nothing that could be done to protect the complainant or their family.",2021-01-17,05:30:00,54,0800,21-0052,Female,White,23,57
21-0053,2/9/2021 5:00:00,14,PHYSICAL ABUSE,"On 1-22-21 at 9:30 AM, the complainant was improperly stopped by police for an expired registration. The complainant was snatched out of the vehicle, thrown against the back of the car and handcuffed by police. The officers searched the complainant along with the vehicle and when nothing was found, the complainant told that a ticket was going to be issued.",2021-01-22,09:30:00,55,1400,21-0053,Male,Black,49,58
21-0054,2/8/2021 5:00:00,NA,SEXUAL CRIME/MISCONDUCT,An unknown captain is allegedly attempting to force the complainant into sending naked pictures of themselves via text.,NA,NA,56,NA,21-0054,Female,Black,63,59
21-0055,2/9/2021 5:00:00,15,HARASSMENT,"The complainant states they were harassed by a 15th District officer. On 2-3-21 at 1:51 PM, they received a private message via social media from the officer. The message was a kissing emoji. The complainant asked if they knew them. The officer wrote, âHru? I was there with your friendâ¦.took a report earlier.â The complainant told them that the message was unprofessional.",2021-02-03,13:51:00,57,1500,21-0055,Female,White,25,60
21-0056,2/9/2021 5:00:00,16,PHYSICAL ABUSE,"On 2-5-21, while the complainant was sitting in a vehicle, officers approached and asked where were the drugs. The complainant denied having drugs and the officers proceeded to take the complainant out of the vehicle. The officers searched the complainant and the vehicle, without finding any narcotics. The complainant states that an officer drove off in the vehicle and when the complainant returned later to the same spot of the arrest, the complainant found that the car has been vandalized. The complainant was assaulted and verbally abused by an officer.",2021-02-05,NA,58,1600,21-0056,Male,Black,58,61
21-0082,2/22/2021 5:00:00,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-14-21 at 2:15 AM, officers improperly entered their home, without their permission.",2021-02-14,02:15:00,86,3500,21-0082,,Black,41,90
21-0057,2/9/2021 5:00:00,9,UNPROFESSIONAL CONDUCT,"The complainant states an unknown officer acted unprofessional and did not provide proper service while in the confines of the 9th District. On 1-11-21 at 1:48 PM, they were involved in an auto accident. An officer responded and took the report. The officer failed to question the complainant and witnesses; however, the officer took the statement of the other operator. The officer said, âI need to hurry it up. Iâm off-duty soon.â The complainant also states that the officer provided them with their cell phone number.",2021-01-11,13:48:00,59,0900,21-0057,Male,Other,20,62
21-0058,2/11/2021 5:00:00,17,UNPROFESSIONAL CONDUCT,"The complainant reported that various family members called 911 several times, in reference to a mob of people threatening the complainantâs child. The complainant states that one of the offenders was carrying a weapon and threatened to use it. The complainant states that a patrol car drove by, but did not stop. Finally after the third 911 call, police arrived. The complainant was instructed to call the detective division in two hours and speak to the detective assigned to their case. The complainant spoke to the assigned detective, who showed no compassion, and rude and nonchalant about the situation. The detective went onto say that the complainant had no reason to call, because the District Attorney deemed the complainant not credible and had dismissed the complaint.",NA,NA,60,1700,21-0058,Female,,40,63
21-0059,2/10/2021 5:00:00,39,DEPARTMENTAL VIOLATIONS,A complaint was received in reference to a violation of departmental policies by a lieutenant assigned to the Narcoticâs Field Unit. The complainant stated that a lieutenant went out on COVID-19 leave so that they could miss the Captainâs test and take it at a later date. The anonymous complaint stated that the lieutenant then received answers to the test from other lieutenants who took the test.,NA,NA,61,3900,21-0059,,,0,64
21-0060,2/10/2021 5:00:00,8,HARASSMENT,"On 2-7-21 at 3:00 PM, an off-duty officer burst out of a house and stormed over to the complainant while in the confines of the 8th District. The complainant states that the officer proceeded to harass them with a ten-minute delusional and disjointed tirade with foul language. This is the third time the complainant has endured an unprovoked and violent verbal assault from this officer.",2021-02-07,15:00:00,62,0800,21-0060,Male,White,61,65
21-0061,2/11/2021 5:00:00,22,UNPROFESSIONAL CONDUCT,"On 2-7-21 at 8:30 AM, the complainant was attempting to move a vehicle when it got stuck in the snow, half in and out of a parking spot. While the complainant was walking back to the car with a shovel, they noticed a patrol car near the vehicle. The complainant began running towards the vehicle and informed the officer that they were attempting to shovel out the car. The officer responded with, âPeople think they can park wherever they want and here you go.â The complainant states that the officer slapped a ticket on the windshield, and dramatically backed down the street, instead of going around the car and drove away.",2021-02-07,08:30:00,63,2200,21-0061,Male,Multi Ethnic,,66
21-0062,2/12/2021 5:00:00,22,VERBAL ABUSE,The complainant was stopped by police on 2-10-21 at 8:06 PM. The complainant was verbally abused and called a âb**châ by the officers. The complainant states they have video recordings of the incident.,2021-02-10,20:06:00,64,2200,21-0062,Male,Asian,29,67
21-0063,2/12/2021 5:00:00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, their property was improperly searched and they were verbally abused by unknown officers. On 2-9-21 at 6:00 AM, while in the confines of the 19th District, officers entered their home. The officers searched their home and damaged their property. The officers left the home in disarray. When the complainant asked the officers why they were there, the officers said, âShut the f*ck up.â",2021-02-09,06:00:00,65,1900,21-0063,Female,Black,35,68
