complaint_id,date_received,district_column,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid,my_column,complaint_id_1,complainant_sex,complainant_race,complainant_age,objectid_1
22-0562,11/25/2022 5:00:00,3,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-2-22 at 10:20 PM, while in the confines of the 3rd District, they were treated unprofessionally and an improper ticket was issued by a Traffic District officer. They were stopped by police. The complainant states that the officer aggressively pulled their patrol car in front of them. The officer approached, with their hand near their firearm. The complainant states that they were issued a ticket for not obeying traffic control devices, which they dispute.",2022-11-02,22:20:00,1227,0300,22-0562,Male,White,33,1282
22-0563,11/25/2022 5:00:00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-23-22 at 11:30 AM, while in the confines of the 25th District, United States Currency was taken by two unknown Highway Patrol officers. While parked, they were approached by police. The complainant states that they were placed in the back of a police vehicle. The officers went into the complainantâs vehicle and took United States Currency. The complainant states that the officers told them that they would have to go to court to retrieve their money.",2022-11-23,11:30:00,1228,2500,22-0563,Male,Black,35,1283
22-0564,11/25/2022 5:00:00,5,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-24-22 at 10:30 AM, while in the confines of the 5th District, they spoke to a supervisor in reference to their stolen vehicle. The complainant states that the supervisor spoke to them disrespectfully and racially profiled them. The complainant states that they called for help and did not receive any assistance.",2022-11-24,10:30:00,1229,0500,22-0564,Male,Black,,1284
22-0565,11/29/2022 5:00:00,7,LACK OF SERVICE,"According to the complainant, on 11-24-22 at 1:20 PM, their significant other was involved in an auto accident with an off duty officer. The complainant states that the responding officer took statements from the off duty officer and from people on their side first before taking their significant otherâs statement. The complainant states that police also did not take a statement from a witness who said it was the officerâs fault. The complainant feels that the officer did not handle the situation correctly or professionally.",2022-11-24,13:20:00,1230,0700,22-0565,Male,White,37,1285
22-0566,11/29/2022 5:00:00,19,PHYSICAL ABUSE,"According to the complainant, on 11-24-22 at 2:00 PM, an officer approached them and began questioning them. The complainant states that they told the officer that they were not going to answer any questions and walked away. The complainant states that the officer then put their hands on them and started to grab them. The complainant again attempted to walk away but the officer grabbed them again. The complainant states that the officer grabbed them three times and this is the second occasion that they have been stopped by the officer on the same day.",2022-11-24,14:00:00,1231,1900,22-0566,Male,Black,55,1286
22-0567,12/6/2022 5:00:00,24,VERBAL ABUSE,"According to the complainant, states on 11-30-22 at 8:45 PM, while in the confines of the 24th District, they were verbally abused by an unknown Highway Patrol officer. They were helping a friend move, and during that time an officer repeatedly yelled at the complainant, ""Move the f*ck*ng car.""",2022-11-30,20:45:00,1232,2400,22-0567,,,0,1287
22-0568,11/28/2022 5:00:00,24,PHYSICAL ABUSE,"According to the complainant, on behalf of their child, states on 11-25-22 at 1:40 PM, while in the confines of the 24th District, their child was physically abused by 6-7 unknown officers and they were treated unprofessionally by a 26th District sergeant. They witnessed their child being pulled out of a vehicle by police. An officer then punched their child several times. The complainant states that they witnessed other officers physically abuse their child. The complainant requested a supervisor. The supervisor acted unprofessionally towards the complainant, refused to give any information to them and told them that their child was being taken to the district instead of the hospital.",2022-11-25,13:40:00,1233,2400,22-0568,,,,1288
22-0569,11/29/2022 5:00:00,24,LACK OF SERVICE,"According to the complainant, on 10-30-22 at 3:25 PM, while in the confines of the 24th District, they did not receive proper service from unknown officers. They called 911 after they noticed someone involved in a prior crime. The complainant then noticed two officers on foot patrol and approached one. The complainant asked if they were there for their 911 call, and the officer said no. The complainant states they pointed to the person involved in the prior crime, but the officer said they could not do anything and that they had to wait for the dispatched unit.",2022-10-30,15:25:00,1234,2400,22-0569,Male,White,63,1289
22-0570,11/30/2022 5:00:00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-31-22 at 5:20 PM, while in the confines of the 9th District, departmental policies were violated by a 9th District officer. They were involved in an auto accident with an aggressive driver. The complainant exited their vehicle and approached a patrol car that was a few cars behind theirs to ask for assistance. When the complainant told the officer what happened, the officer said that they were writing them a ticket. The complainant asked the officer why would they write them a ticket. The officer stated, âFor what you told me.â",2022-08-31,17:20:00,1235,0900,22-0570,Female,Black,39,1290
22-0571,11/29/2022 5:00:00,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-24-22 at 1:00 PM, while in the confines of the 14th District, departmental policies were violated by an unknown supervisor. They called 911 to ticket vehicles parked on private property. An officer responded and took the information of six vehicles to make sure that they were not stolen before they ticketed them. A tow truck was there to tow a vehicle that was ticketed earlier that day. The owner of the vehicle came out and entered the vehicle. The complainant called 911. A street supervisor responded and wanted the tow operator to release the vehicle, however they refused. The complainant stated that because they did not release the vehicle, the street supervisor ordered the officers to not ticket the any of the other vehicles.",2022-11-24,13:00:00,1236,1400,22-0571,Male,White,42,1291
22-0572,11/30/2022 5:00:00,NA,HARASSMENT,"According to the complainant, on 11-28-22, while in the confines of an outside jurisdiction, an off-duty 9th District officer made verbal threats. An officer came to a healthcare facility requesting assistance for their medical condition. The complainant assisted the officer with their needs and advised them to contact their primary care physician for an updated prescription. The officer stated that they could never get ahold of anyone at their medical office and made inappropriate comments. The officer also made a comment about wanting to put lead into someoneâs head before their departure from the medical office.",2022-11-28,NA,1237,NA,22-0572,,,,1292
22-0573,11/30/2022 5:00:00,2,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-28-22 at 10:45 PM, while in the confines of the 2nd District, an individual called 911 on them. The complainant informed the responding officers that they were leaving. As the complainant was leaving, an officer asked for their identification and they refused. The complainant states that the officers proceeded to handcuff them and search them, violating their civil rights. The complainant also states that the officer lied when he issued him a ticket for an open beer can.",2022-11-28,22:45:00,1238,0200,22-0573,Male,,,1293
22-0574,12/1/2022 5:00:00,7,LACK OF SERVICE,"According to the complainant, while in the confines of the 7th District, he did not receive proper service. The complainant states that they were the victim of a shooting incident on 12-6-21. The complainant states that their weapon was confiscated and has not been returned to them. The complainant has not received any updates in reference to their case. The complainant also states that they did not appreciate that during their week stay at the hospital, the doctors and nurses repeatedly asked them how they shot themselves. The complainant states that they did not shoot themselves, as they believe that the detective is under that impression and that is why their case is not being investigated properly.",2021-12-06,NA,1239,0700,22-0574,Male,White,22,1294
22-0575,12/5/2022 5:00:00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, while in the confines of the 19th District, officers stopped them as they were walking. The complainant states that the officers approached them with their guns drawn and asked them to put their face on the ground. The complainant repeatedly told the officers that they had the wrong person. The complainant states that one of the officers gave them negative feedback, when they told the officers that they had not done anything wrong.",NA,NA,1240,1900,22-0575,Male,Black,42,1295
22-0576,12/6/2022 5:00:00,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, 12th District officers violated departmental policies. They watched a social media video of a person that was stopped by police. During the stop, officers refused to identify themselves.",NA,NA,1241,1200,22-0576,Female,Black,60,1296
22-0577,12/9/2022 5:00:00,18,LACK OF SERVICE,"According to the complainant, on 12-2-22 at 1:15 PM, while in the confines of the 18th District, they were involved in an altercation with the management over unsatisfactory services. Police arrived and the complainant was informed that they had to pay the full amount and write a review or go to jail. The complainant also states that the officer consistently grabbed at their taser.",2022-12-02,13:15:00,1242,1800,22-0577,Female,Black,30,1297
22-0578,12/6/2022 5:00:00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-1-22, while in the confines of the 25th District, they were harassed and property is missing by two Narcotics Unit officers. They were harassed by officers after they were involved in an auto accident. The complainant states that they are now missing their wallet. The complainant states that one of the officers is related to their tenant.",2022-12-01,NA,1243,2500,22-0578,Male,Latino,55,1298
22-0579,12/6/2022 5:00:00,3,PHYSICAL ABUSE,"According to the complainant, on 12-4-22 at 5:30 PM, while in the confines of the 1st District, they were thrown to the ground and manhandled by police.",2022-12-04,17:30:00,1244,0300,22-0579,Male,,36,1299
22-0580,12/8/2022 5:00:00,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-12-22 at 6:00 AM, while in the confines of the 35th District, Homicide Unit detectives and unknown SWAT officers violated departmental policies. SWAT officers broke the door to their home and entered the property. An officer pointed a firearm in a family memberâs face. Detectives entered the property, refused to show a warrant, provide a card or put their names on any reports. The complainant also states that their firearm was taken.",2022-09-12,06:00:00,1245,3500,22-0580,Male,Black,,1300
22-0581,12/6/2022 5:00:00,8,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-25-22 at 5:00 PM, while in the confines of the 8th District, they did not receive proper service from a detective and were treated unprofessionally by a lieutenant assigned to Northeast Detective Division. They were assaulted by their spouseâs children. The complainant states that when they contacted Northeast Detective Division, the lieutenant was rude to them. The complainant also states that the detective is siding with their spouse, because they know that they are a retired cop.",2022-11-25,17:00:00,1246,0800,22-0581,Female,White,65,1301
22-0582,12/9/2022 5:00:00,5,PHYSICAL ABUSE,"According to the complainant, on 1-13-18, while in the confines of the 5th District, they were physically abused by unknown SWAT officers and harassed by their neighbor, an off-duty SWAT officer. An ambulance arrived to treat them for a medical condition. SWAT officers also arrived and dragged the complainant out of the house to a waiting gurney. The complainant states that they were touched inappropriately throughout their body by the officers. The complainant feels that the officer sent the SWAT officers to their house out of retaliation for prior neighbor disputes.",2018-01-13,NA,1247,0500,22-0582,Female,White,78,1302
22-0583,12/6/2022 5:00:00,25,PHYSICAL ABUSE,"According to the complainant, on 11-18-22 at 9:30 PM, while in the confines of the 25th District, they were physically abused by a 25th District officer. The officer punched them twice on their left eyebrow. The complainant states that they began to bleed. An officer took the complainant to receive medical treatment. The complainant states that they received two stitches.",2022-11-18,21:30:00,1248,2500,22-0583,Female,Latino,32,1303
22-0584,12/6/2022 5:00:00,26,LACK OF SERVICE,"According to the complainant, on 5-2-22 at 5:35 AM, while in the confines of the 26th District, they did not receive proper service from a detective assigned to the East Detective Division. Their child passed away. Officers responded, along with a detective. The complainant states that the detective failed to investigate their childâs sudden death.",2022-05-02,05:35:00,1249,2600,22-0584,Female,Latino,49,1304
22-0585,12/9/2022 5:00:00,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-15-21 at 5:00 PM, while in the confines of the 19th District, an off-duty 35th District officer violated departmental policies. They entered into a partnership agreement of a trucking company with the officer. During their partnership, they had disagreements over funds. During a court proceeding, the complainant states that the officer lied. The complainant also alleged that the officer did not live in Philadelphia during the first 2 years of his employment with the city.",2021-08-15,17:00:00,1250,1900,22-0585,Male,Black,50,1305
22-0598,12/14/2022 5:00:00,9,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-12-22 at 3:41 PM, on behalf of a family member, states that their family member did not receive proper service from an unknown 911 call taker. Their family member called 911 after being involved in an auto accident with injuries. The complainant states as their family member was explaining what occurred, the call taker hung up the phone.",2022-12-12,15:41:00,1263,0900,22-0598,Female,,19,1318
22-0586,12/9/2022 5:00:00,25,VERBAL ABUSE,"According to the complainant, beginning in 2018, they were verbally abused and did not receive proper service from a detective Special Victims Unit. They have reported abuse of their child by the childâs other parent. The detective was assigned to the case. The complainant states that the detective has suggested that they leave their child at the district so they can put them in foster care. The complainant states that the detective has not investigated their childâs other parent.",NA,NA,1251,2500,22-0586,Female,,,1306
22-0587,12/8/2022 5:00:00,5,LACK OF SERVICE,"According to the complainant, on 12-5-22 at 4:33 PM, while in the confines of the 6th District, they did not receive proper service from a 6th District officer. They were issued a ticket. When the complainant asked the officer if they could ask them a question, the officer ignored them, entered their vehicle and drove away.",2022-12-05,16:33:00,1252,0500,22-0587,,,0,1307
22-0588,12/8/2022 5:00:00,25,LACK OF SERVICE,"According to the complainant, on 9-21-22 at 9:00 AM, while in the confines of the 25th District, they did not receive proper service from a 25th District officer. The officer responded for a landlord/tenant issue. The complainant states that the officer failed to properly document the incident",2022-09-21,09:00:00,1253,2500,22-0588,Female,Black,47,1308
22-0589,12/9/2022 5:00:00,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-6-22, while in the confines of the 14th District, a sergeant and an officer from the 14th District violated departmental policies.Â Â Officers broke the door to their home and pointed a flashlight in their direction.Â Â The complainant asked them why they broke the door.Â Â The officers claimed it was their spouse and not the police who broke the door.Â Â The complainant states that their spouse has not lived there and a sergeant failed to verify that information.Â Â Â",2022-12-06,NA,1254,1400,22-0589,Male,Black,40,1309
22-0590,12/12/2022 5:00:00,22,VERBAL ABUSE,"According to the complainant, on 7-3-22, while in the confines of the 22nd District they were verbally abused and did not receive proper service from a 22nd District lieutenant. Officers responded for a domestic. The lieutenant sent a certified letter to the complainant to discuss the situation. On 12-1-22, the lieutenant came to the complainantâs home on another matter. The complainant states that they tried to talk to the lieutenant, but the lieutenant said, âI sent you a certified letter. You didnât respond, so Iâm not going to talk to you.â",2022-07-03,NA,1255,2200,22-0590,Male,Black,69,1310
22-0591,12/12/2022 5:00:00,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-6-22 at 12:00 PM, while in the confines of the 22nd District,Â Â Â  unknown officers abused their authority and did not provide proper service.Â  Officers arrived to tow theirÂ abandoned trailer.Â  The complainant told the officers that it was not abandoned and requested a supervisor.Â  The complainant states that they have been parking the trailer there since 2017 and that there are no signs stating no truck parking.Â  The complainant offered to get their truck and move their trailer, but was denied.Â  The complainant retrieved their truck and as they approached, an officer stepped in front of their truck.Â  Officers threatened to arrest them for disorderly conduct.Â  The complainant states that the trailer was towed and they had to pay a fee to get it back.Â",2022-12-06,12:00:00,1256,2200,22-0591,Male,Black,60,1311
22-0592,12/12/2022 5:00:00,12,LACK OF SERVICE,"According to the complainant, on 7-29-22 at 4:00 PM, while in the confines of the 12th District, they did not receive proper service from a detective assigned to Southwest Detective Division.Â  They reported their child missing.Â  The detective was assigned the case.Â  The complainant states that months passed and they did not hear anything from the detective.Â  On 11-4-22, a note was left in their door to call the detective.Â  The complainant called the detective.Â  The detective told the complainant that they had an incorrect number, which is why they never called.Â Â The complainant asked the detective why didnât they come by their home, and the detective had no response.Â",2022-07-29,16:00:00,1257,1200,22-0592,Female,Black,45,1312
22-0593,12/12/2022 5:00:00,18,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-4-22 at 4:30 PM, while in the confines of the 18th District, a 12th District and 16th District officer acted unprofessionally. They were arrested and transported to the 18th District cellroom. During their stay, an officer used abusive and offensive language. The complainant states that the officer was rude. The complainant states that the other officer giggled and laughed throughout their stay at the district.",2022-12-04,16:30:00,1258,1800,22-0593,Male,Black,49,1313
22-0594,12/21/2022 5:00:00,22,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-10-22 at 1:00 AM, while in the confines of the 22nd District, they did not receive proper service from an unknown 22nd District officer. They went to the district and requested a complaint against police form. An officer asked the complainant for their identification. When the complainant asked the officer if they had to show their identification for race and gender, the officer told them that they were color blind.",2022-12-10,01:00:00,1259,2200,22-0594,Male,White,38,1314
22-0595,12/14/2022 5:00:00,22,HARASSMENT,"According to the complainant, on 12-10-22 at 5:07 PM, while in the confines of the 22nd District, they were harassed, treated unprofessionally and verbally abused by a 22nd District officer. They were notified by an officer that their family member, who suffers from medical conditions, was found walking on the highway barefoot. The complainant states that they told the officer that they were out of town and would attempt to contact someone to get them. The officer called the complainant back and told them that they would take their family member to the district for someone to pick them up. The complainant states that they then received several harassing calls from another officerâs cell phone. The officer yelled and used profanities at them. The complainant hung up on them. The officer proceeded to call them several more times. After the complainant ignored the calls, the officer sent two inappropriate text messages to their phone.",2022-12-10,17:07:00,1260,2200,22-0595,Female,Black,41,1315
22-0596,12/14/2022 5:00:00,9,LACK OF SERVICE,"According to the complainant, on 11-24-22 at 1:45 PM, while in the confines of the 9th District, they did not receive proper service from unknown 9th District officers. They witnessed someone being attacked on the highway. The complainant states they ran over to officers who were standing on the street for help. The officers followed the complainant back, but repeatedly stated that they were not going to do anything because there was no victim. The complainant asked them for their badge numbers, but they refused.",2022-11-24,13:45:00,1261,0900,22-0596,Female,,52,1316
22-0597,12/14/2022 5:00:00,3,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-10-22 at 12:10 PM, while in the confines of the 3rd District, they were verbally abused by a sergeant assigned to the Traffic District.Â Â The complainant attempted to enter a parking lot and was informed by an officer that they could not get through.Â Â The complainant showed the officer their parking pass.Â  The officer told the complainant to speak to their sergeant.Â  The complainant approached the sergeant and asked them if there was a way to access the lot.Â  The sergeant aggressively told them that they were not getting into the parking lot.Â  The sergeant proceeded to use profanities.Â  The complainant states that they had young children in their vehicle that had to witness the sergeantâs behavior.Â  Â Â",2022-12-10,12:10:00,1262,0300,22-0597,Male,White,65,1317
22-0599,12/14/2022 5:00:00,12,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-12-22 at 5:00 PM, they were treated unprofessionally and verbally abused by a 12th District officer.Â Â The complaint was stopped by police, and the officer verbally abused them in front of their children.Â Â The complainant states that they have this on video.Â",2022-12-12,17:00:00,1264,1200,22-0599,,Black,,1319
22-0600,12/14/2022 5:00:00,NA,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-21-22 at 12:00 AM, while in the confines of another jurisdiction, they were harassed and false allegations were made byÂ theirÂ ex-significant other, an off-duty 9th District officer.Â  While at their home, they were locked in a room and not given any food by the officer.Â  The complainant states that the officer made them perform acts on them in order for them to reside at the home.Â  The officer has mentally abused them and made false allegations against them.Â",2022-04-21,00:00:00,1265,NA,22-0600,Female,Black,50,1320
22-0601,12/15/2022 5:00:00,18,LACK OF SERVICE,"According to the complainants, on 12-13-22 at 10:00 AM, while in the confines of the 18th District, they did not receive proper service from 18th District officers. Officers responded to a domestic incident. The complainants state that the officers left without speaking to them. The complainants called 911 again for police assistance. While on the phone, they heard an officer say that they were there and this is the games that they play.",2022-12-13,10:00:00,1266,1800,22-0601,Female,Black,20,1321
22-0602,12/15/2022 5:00:00,12,LACK OF SERVICE,"According to the complainants, on 12-13-22 at 10:29 PM, while in the confines of the 12th District, they did not receive proper service from 12th District officers. Police responded for a report of someone breaking in. The complainants stated that the officers did not handle the incident correctly. The complainants had to call 911 again for police assistance and to make a report for vandalism.",2022-12-13,22:29:00,1267,1200,22-0602,Female,Black,,1323
22-0603,12/20/2022 5:00:00,12,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 12-17-22 at 4:50 PM, while in the confines of the 12th District, their child is being harassed by a 12th District officer. Their child was stopped because of the tint on the windows. The complainant states that the same officer is harassing their child because every time the officer sees them, they pull them over because of the tint on the windows.",2022-12-17,16:50:00,1268,1200,22-0603,Female,Black,41,1324
25-0714,12/31/2025 5:00:00,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-03-25 at 5:10 PM, while in the confines of the 39th District, the complainant states they were improperly stopped by unknown officers. They also state that they were previously stopped by the same officers for no reason.",2025-12-03,17:10:00,1269,3900,25-0714,Male,Black,39,1326
22-0604,12/22/2022 5:00:00,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-12-22 at 8:00 AM, while in the confines of the 24th District, they did not receive proper service and departmental policies were violated by unknown 24th District officers. They were arrested by police. The complainant states that the officers refused to give them medical attention. The complainant was later taken to the hospital. The complainant states that their vehicle was taken to a police unit and not returned. The complainantâs vehicle contained their wallet, money and heart medication. The complainant states that they have been calling the 24th District, but officers keep hanging up the phone on them.",2022-12-12,08:00:00,1270,2400,22-0604,Male,White,73,1327
22-0605,12/22/2022 5:00:00,16,VERBAL ABUSE,"According to the complainant, on 12-19-22 at 11:50 PM, while in the 16th District, they were verbally abused by a 16th District officer. They were stopped by the officer. The complainant states that the officer was disrespectful and took their car keys for no reason. The officer told them that they would issue them a ticket for speeding, but actually made it for reckless endangerment. The complainant asked the officer for their name and badge number. The officer directed them to the ticket.",2022-12-19,23:50:00,1271,1600,22-0605,Male,Black,22,1328
22-0606,12/22/2022 5:00:00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-22, while in the confines of the 9th District, an unknown officer violated departmental policies and parked illegally.Â  They noticed a private vehicle repeatedly parking in a handicapped parking spot.Â  The complainant states that the vehicle has a license plate partially obscured with a badge that says âFraternal Order of Police.âÂ Â The complainant also states that there is a dark window tint on the windows and there is no visible handicap placard.Â",2022-12-19,NA,1272,0900,22-0606,Male,,,1329
22-0607,12/22/2022 5:00:00,77,VERBAL ABUSE,"According to the complainant, on 12-18-22 at 12:10 AM, while in the confines of the Airport Unit, they were verbally abused by an unknown officer assigned to the Airport Unit. They pulled their vehicle over. An officer was directing traffic and waving everyone to move along. As the complainant attempted to ask the officer a question, the officer approached and said, âWhy do you think youâre different?â",2022-12-18,00:10:00,1273,7700,22-0607,Female,White,60,1330
22-0608,12/22/2022 5:00:00,16,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-9-22 at 5:15 PM, while in the confines of the 16th District,Â they allegedÂ an improper entry by an unknown 16th District officer.Â  An officer wanted to enter their home, but the complainant said no because of their dog.Â  The complainant states that the officer then entered the home without their permission.Â",2022-12-09,17:15:00,1274,1600,22-0608,Female,Black,51,1331
22-0609,12/22/2022 5:00:00,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-22 at 12:00 PM, while in the confine of the 9th District, they were treated unprofessionally and departmental policies were violated by a 9th District officer. While letting their partner out their vehicle, the officer approached and told them that they could not park there. The officer told them that they were blocking the highway. When the complainant asked if the street was a highway, the officer flung their hand and hit the driverâs side mirror of the vehicle. The complainant asked the officer to not hit their car. The officer then scanned their license plate. The officer proceeded to walk away. The complainant exited their vehicle and asked the officer for their badge number. The officer continued to walk away.",2022-12-17,12:00:00,1275,0900,22-0609,Female,White,26,1332
22-0610,12/22/2022 5:00:00,6,LACK OF SERVICE,"According to the complainant, on 12-21-22 at 3:15 PM, while in the confines of the 6th District, they did not receive proper service from a 6th District officer. They were struck by a vehicle. An officer approached and allowed the driver to leave the scene, but told the complainant to wait while the officer checked their information.",2022-12-21,15:15:00,1276,0600,22-0610,Male,Black,27,1333
22-0611,12/27/2022 5:00:00,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-08-22, they were released from custody at the 18th District at 5510 Pine Street, and their belongings were not returned to them by unknown officer(s).",2022-12-08,NA,1277,1800,22-0611,Male,Black,37,1334
22-0612,12/27/2022 5:00:00,18,DEPARTMENTAL VIOLATIONS,The complainant alleged that on 12-24-22 at 10:30PM an off-duty officer threatened them and violated departmental policies during a domestic dispute over custody of a child related to them.,2022-12-24,22:30:00,1278,1800,22-0612,Female,Black,40,1335
22-0613,12/28/2022 5:00:00,16,LACK OF SERVICE,The complainant alleges they did not receive proper service from 16th District officers related to an auto accident on 12-22-22.,2022-12-22,NA,1279,1600,22-0613,Male,Asian,52,1336
22-0614,12/29/2022 5:00:00,12,HARASSMENT,"According to the complainants, on 12-09-22 at 4:00 PM, while in the confines of the 12th District they were stopped because of a motor vehicle violation, and now they allege they are being harassed by a 12th District officer. The complainant states that the same officer harasses them every time the officer sees them driving their vehicle.",2022-12-09,16:00:00,1280,1200,22-0614,Male,Black,29,1337
22-0615,12/29/2022 5:00:00,22,LACK OF SERVICE,"According to the complainant, on 12-23-22 at 11:22 AM, while in the confines of the 22nd District they contacted police to file report of someone being assaulted in a rooming house. The complainant stated that the officers who responded to the location failed to file a police report. The complainant went to 22nd District to make a report for assault and threats.",2022-12-23,11:22:00,1281,2200,22-0615,Female,Black,46,1338
22-0616,12/30/2022 5:00:00,26,LACK OF SERVICE,"According to the complainant, on 12-18-22 at approximately 2:00PM, while in the confines of the 26th District, they called 911 to report a burglary. After waiting for some time, the police failed to respond, the complaint went to the 26th District to report the burglary. No one has since investigated the incident.",2022-12-18,14:00:00,1282,2600,22-0616,Male,Black,39,1339
22-0617,12/30/2022 5:00:00,25,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on 11-04-22 at 12:44AM, while in the confines of the 25th District they did not receive proper service from unknown officers who acted unprofessionally and sexually harassed them.",2022-11-04,00:44:00,1283,2500,22-0617,Female,Latino,64,1340
22-0618,12/30/2022 5:00:00,9,LACK OF SERVICE,"According to the complainant, on 12-19-22 at 12:10PM, while in the confines of the 9th and 22nd District they did not receive proper service from Police Radio.",2022-12-19,12:10:00,1284,0900,22-0618,,,,1341
22-0619,12/30/2022 5:00:00,22,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-30-22 at 11:42AM, while in the confines of the 22nd District they did not receive proper service and they were treated unprofessionally from officers in the 22nd District.",2022-12-30,11:42:00,1285,2200,22-0619,Female,Black,46,1342
22-0620,12/30/2022 5:00:00,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-29-22 at 1:00 PM, while in the confines of the 39th District, they were improperly stopped by 39th District officers.Â Â They were pulled over by police and were told to place their keys on the dashboard.Â Â The complainant states they did not comply.Â  The officer reached into the vehicle and attempted to unlock the car door.Â  The complainant asked if they were being detained.Â  The officer said yes but would not tell them the reason.Â  The complainant states that the officer searched their vehicle without their permission.Â  The complainant states that they were ticketed and their vehicle was towed.Â",2022-12-29,13:00:00,1286,3900,22-0620,Male,Black,25,1343
22-0621,12/30/2022 5:00:00,18,PHYSICAL ABUSE,"According to the complainant, on 2-14-22 at 2:15 AM, while in the confines of the 18th District, they were physically abused and falsely arrested by 18th District officers.Â Â Officers arrived and approached with handcuffs.Â Â The complainant entered their property and spoke to the officers through a broken window.Â Â An officer said they just wanted to talk, and the complainant opened the door and was punched by several officers.Â  The complainant proceeded to run, but was then tazered and dragged on the floor.Â  The complainant states they were arrested and taken to the hospital.Â  The complainant states that they received staples to their head.",2022-02-14,02:15:00,1287,1800,22-0621,Male,Black,55,1344
22-0622,12/30/2022 5:00:00,35,LACK OF SERVICE,"On Friday, 12-30-22 at 1:15PM, the complainant alleged they were assaulted by unknown security guard(s) in the confines of the 35th District. The complainant reports the police did not investigate the matter properly.",2022-12-30,13:15:00,1288,3500,22-0622,Male,Black,60,1345
22-0623,12/30/2022 5:00:00,19,VERBAL ABUSE,"According to the complainant, on 12-29-22 at 10:33 AM, while in the confines of the 19th District, they were verbally abused by an unknown 19th District officer. They were approached by an officer over handicap parking. After their conversation, the complainant rolled their window up and continued their conversation on their cellphone. The officer knocked on their window and said, âWhat the f*ck did you just say? Youâre being disrespectful.â The complainant showed the officer that they were on their phone. The officer then made inappropriate comments.",2022-12-29,10:33:00,1289,1900,22-0623,Female,Black,22,1346
23-0001,1/5/2023 5:00:00,12,LACK OF SERVICE,"According to the complainant, on 12-30-22 at 3:59 AM, while in the confines of the 12th District, they did not receive proper service from 12th District officers. Officers responded to a domestic incident. The complainant states that an officer knew the aggressor and dismissed their concerns. The complainant states that the officers left the complainant in an unsafe position. The complainant states that no report or a false report was written.",2022-12-30,03:59:00,1290,1200,23-0001,Female,Black,51,1347
23-0002,1/17/2023 5:00:00,35,LACK OF SERVICE,"According to the complainant, on 5-23-22 and 5-25-22, while in the confines of the 35th District, they did not receive proper service from unknown officers.",2022-05-23,NA,1291,3500,23-0002,Female,Black,,1348
23-0003,1/5/2023 5:00:00,14,UNPROFESSIONAL CONDUCT,"According to the complainants, on 1-3-23 at 3:30 AM, while in the confines of the 14th District, they were verbally abused and treated unprofessionally by an unknown officer. They were involved in a physical altercation. They went outside and called 911. Officers responded. The complainant asked the officer if they could retrieve money from the other party involved. The officer said f*ck you and your money unless you want to get arrested. The officer then said ân*gg*râ under their breath.",2023-01-03,03:30:00,1292,1400,23-0003,Female,Black,29,1349
23-0004,1/6/2023 5:00:00,35,LACK OF SERVICE,"According to the complainant, on 12-21-22 at 4:00 AM, while in the confines of the 35th District, they did not receive proper service from unknown officers during a domestic incident. The complainant states that they told the officers that they had a valid protection from abuse order against their childâs parent. The officers were unable to verify one. The officers allegedly told their childâs parent that they could break in if they lock them out and advised them to file a protection from abuse. The following week, their childâs parent returned with a knife and a hammer. Officers responded, and were able to verify a valid protection from abuse order. The complainant states if the initial responding officers handled the first incident properly, their childâs parent would not have returned with a knife and hammer.",2022-12-21,04:00:00,1293,3500,23-0004,Female,Black,31,1350
